ASV	Taxon	Phylum	Class	Order	Family	Genus	Species
e87d1fb42cb7b527d3902b284c02a3e0	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	Uncultured bacterium
aca4d16e498d2956d6b47c465e9707ee	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
a5459c562df277784f02e7d9c3fd61cf	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	Uncultured Chloroflexi
bb4e7c777c56615e1883cd62913a16f3	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unknown
d90bd71cfe6e75ca0cef3781e1c8e847	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	Uncultured bacterium
19858b3969154c936c62685e1c21f0b2	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila	Unknown
38c639e0744a48dc5d5da9d5d226ea53	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	bacterium enrichment
5c747a6494d05605e8fae16932f00a65	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila	Uncultured bacterium
215747eb9630b029339c087da9b542a2	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Uncultured	Unknown
37f01ec959a71ee591fc0abda0863148	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	Unknown
5b9b94f03a42dc7d34ea53dfd00eed33	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	Uncultured bacterium
160c670ee18d16640ec2b7e9d597f778	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured bacterium
5957a5af9a062ff2b8900a214b5c24cd	Bacteria	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
